timestamp,symbol,reason,coverage,span_years
2025-10-26 20:53:20,ALPHA.AT,history<5.0y & coverage<90%,2.88,0.31
2025-10-26 20:53:20,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-10-26 20:53:20,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-10-26 20:53:20,ADKO.VI,coverage<90%,56.78,6.28
2025-10-26 20:53:20,ARION.IC,coverage<90%,65.07,7.35
2025-10-26 20:53:20,BG.VI,coverage<90%,71.82,7.99
2025-10-26 20:53:20,MONET.PR,coverage<90%,78.26,8.77
2025-10-26 20:53:20,MTRO.L,coverage<90%,86.59,9.63
2025-10-26 20:53:20,UNI.MC,coverage<90%,75.67,8.31
2025-10-26 21:57:34,ALPHA.AT,history<5.0y & coverage<90%,2.88,0.31
2025-10-26 21:57:34,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-10-26 21:57:34,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-10-26 21:57:34,ADKO.VI,coverage<90%,56.78,6.28
2025-10-26 21:57:34,ARION.IC,coverage<90%,65.07,7.35
2025-10-26 21:57:34,BG.VI,coverage<90%,71.82,7.99
2025-10-26 21:57:34,MONET.PR,coverage<90%,78.26,8.77
2025-10-26 21:57:34,MTRO.L,coverage<90%,86.59,9.63
2025-10-26 21:57:34,UNI.MC,coverage<90%,75.67,8.31
2025-11-04 19:38:40,ALPHA.AT,history<5.0y & coverage<90%,2.88,0.31
2025-11-04 19:38:40,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-11-04 19:38:40,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-11-04 19:38:40,ADKO.VI,coverage<90%,56.78,6.28
2025-11-04 19:38:40,ARION.IC,coverage<90%,65.07,7.35
2025-11-04 19:38:40,BG.VI,coverage<90%,71.82,7.99
2025-11-04 19:38:40,MONET.PR,coverage<90%,78.26,8.77
2025-11-04 19:38:40,MTRO.L,coverage<90%,86.59,9.63
2025-11-04 19:38:40,UNI.MC,coverage<90%,75.67,8.31
2025-11-04 19:52:45,ALPHA.AT,history<5.0y & coverage<90%,2.88,0.31
2025-11-04 19:52:45,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-11-04 19:52:45,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-11-04 19:52:45,ADKO.VI,coverage<90%,56.78,6.28
2025-11-04 19:52:45,ARION.IC,coverage<90%,65.07,7.35
2025-11-04 19:52:45,BG.VI,coverage<90%,71.82,7.99
2025-11-04 19:52:45,MONET.PR,coverage<90%,78.26,8.77
2025-11-04 19:52:45,MTRO.L,coverage<90%,86.59,9.63
