symbol,dst,weight
BRD.RO,TLV.RO,8.042656483180068
CBG.L,LLOY.L,6.9108357510131775
CMBN.SW,VONN.SW,6.464152608401034
SHB-A.ST,SWED-A.ST,6.188422865619305
NONG.OL,MING.OL,6.095935914317024
ETE.AT,EUROB.AT,5.778470474497596
MING.OL,NONG.OL,5.652384579106494
VONN.SW,CMBN.SW,5.444663099708185
ETE.AT,TPEIR.AT,5.075589439776984
CBG.L,STB.L,5.035276384992645
STB.L,LLOY.L,4.989531675559159
PKO.WA,PEO.WA,4.923743385310247
TPEIR.AT,EUROB.AT,4.764951848164987
ALR.WA,PEO.WA,4.562242729757969
STAN.L,HSBA.L,4.529586369538071
PEO.WA,PKO.WA,4.474349781390254
SPL.WA,PEO.WA,4.451083595041649
MIL.WA,MBK.WA,4.431013868562329
SPL.WA,PKO.WA,4.397363677031276
PKO.WA,SPL.WA,4.345053661376117
EUROB.AT,TPEIR.AT,4.276284918640104
PKO.WA,MBK.WA,4.223747646517229
ALR.WA,PKO.WA,4.171763187214366
TPEIR.AT,ETE.AT,4.094113362748624
ALR.WA,MBK.WA,4.088447831816177
SAB.MC,BBVA.MC,4.06229713025286
PKO.WA,ALR.WA,4.057077418859529
PEO.WA,ALR.WA,4.030789144990311
PEO.WA,SPL.WA,3.995340539776796
MIL.WA,ALR.WA,3.97538588425976
MIL.WA,PKO.WA,3.970378306203947
BBVA.MC,SAB.MC,3.959043105106584
TLV.RO,BRD.RO,3.950661414704554
SPL.WA,MBK.WA,3.942824523689193
PEO.WA,MBK.WA,3.941455548251039
ING.WA,PKO.WA,3.910292579203325
HSBA.L,STAN.L,3.908356884914857
ING.WA,MBK.WA,3.900228096476823
EUROB.AT,ETE.AT,3.898172522644204
ALR.WA,SPL.WA,3.8921829584605914
SHB-A.ST,SEB-A.ST,3.8567992041447727
SPL.WA,ALR.WA,3.848817669435153
NWG.L,BARC.L,3.8444173105796193
MIL.WA,PEO.WA,3.835156868152608
ACA.PA,BNP.PA,3.8086317909729535
MBK.WA,PEO.WA,3.751413612698871
MING.OL,DNB.OL,3.724920810277175
ALR.WA,MIL.WA,3.7213808852143706
ING.WA,MIL.WA,3.7019245574532937
MBK.WA,PKO.WA,3.659213770152144
NONG.OL,DNB.OL,3.646709889057601
PKO.WA,MIL.WA,3.61297249852418
BMPS.MI,MB.MI,3.599540136782012
STAN.L,BARC.L,3.5957882662118386
JYSK.CO,SYDB.CO,3.5616015329491373
ING.WA,PEO.WA,3.559553034153769
SYDB.CO,JYSK.CO,3.555090109005466
CBK.DE,UCG.MI,3.534305745788072
SWED-A.ST,SEB-A.ST,3.5264595148901545
ING.WA,ALR.WA,3.521627788194213
LLOY.L,NWG.L,3.519176681201579
BKT.MC,CABK.MC,3.5008126473632077
MIL.WA,SPL.WA,3.494453424443014
MBK.WA,MIL.WA,3.4934524668087152
BMPS.MI,BPE.MI,3.483868072281553
BIRG.IR,A5G.IR,3.4566837808714665
MBK.WA,ALR.WA,3.4558225954956416
CABK.MC,BKT.MC,3.450095176153172
SWED-A.ST,SHB-A.ST,3.438694756308533
JYSK.CO,DANSKE.CO,3.431897830430477
BPE.MI,BPSO.MI,3.4180048579886253
BPE.MI,ISP.MI,3.4082154818446795
ACA.PA,UCG.MI,3.406991932713625
LLOY.L,BARC.L,3.4039408848961177
MBK.WA,SPL.WA,3.402719184851525
UCG.MI,ISP.MI,3.4015364374235397
BPE.MI,BAMI.MI,3.372541405138342
NDA-SE.ST,SEB-A.ST,3.3623995871533743
ACA.PA,ISP.MI,3.3447306333516837
SYDB.CO,DANSKE.CO,3.338221767194022
BBVA.MC,SAN.MC,3.336080991519557
ING.WA,SPL.WA,3.33082866067353
ISP.MI,UCG.MI,3.3234554942112418
A5G.IR,BIRG.IR,3.315079483909256
STB.L,CBG.L,3.290264252039071
BPSO.MI,ISP.MI,3.2886615167532987
SAB.MC,SAN.MC,3.277768022280007
